"
";Fast Track;;Intake;Code - Abbraviation;University Name;CSCA;Major (English-Taught);PIC;Seats;Remaining Seats;;;Location;Best Ranking;Special Title;Deadline;Mini Marks ;Oiginal tuition (RMB/year);Original Dorm (RMB/year);Rent outside the dorm;Scholarship Details;Self Introduction Video;Interview;Guardian Letter;Age limit;English;Docs List;Dorm link;Specail requirments;offer mail;;;;;;;;;;;;;;
Math;No;General;September;CSU;Central South University;Yes;Mathematics (Dual degree);Qumin;open;;;;Changsha, Hunan;27-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st, May;Pass CSCA;69000;"Xiangya 8 and 9 building:
single room: 6000/year
apartment: 5000-7000/year

Shenhua Dorm:
apartment:9000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 1:
apartment: 16000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 2:
double room: 4000/year

Tiedao Dorm 3:
single room: 8000/year
double room: 5000/year
triple room: 4500/year

Tiedao Dorm
single room:8000/year
double room:3500/year";Not Allowed;N/A;Yes;No;No;25;EFFST, Duolingo, TOEFL, IELTS;CSU;CSU;"TOEFL≥ 85
IELTS≥ 6.0";"Mathematics, and
Physics/Chemistry(Choose One)";;;;;;;;;;;;;;
Computer;No;General;September;CSU;Central South University;Yes;Computing Science (Dual degree);Qumin;open;;;;Changsha, Hunan;27-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st, May;Pass CSCA;69000;"Xiangya 8 and 9 building:
single room: 6000/year
apartment: 5000-7000/year

Shenhua Dorm:
apartment:9000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 1:
apartment: 16000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 2:
double room: 4000/year

Tiedao Dorm 3:
single room: 8000/year
double room: 5000/year
triple room: 4500/year

Tiedao Dorm
single room:8000/year
double room:3500/year";Not Allowed;N/A;Yes;No;No;25;EFFST, Duolingo, TOEFL, IELTS;CSU;CSU;"TOEFL≥ 85
IELTS≥ 6.0";"Mathematics, and
Physics/Chemistry(Choose One)";;;;;;;;;;;;;;
Mechanical;No;General;September;CSU;Central South University;Yes;Mechanical Engineering (Dual degree);Qumin;open;;;;Changsha, Hunan;27-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st, May;Pass CSCA;69000;"Xiangya 8 and 9 building:
single room: 6000/year
apartment: 5000-7000/year

Shenhua Dorm:
apartment:9000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 1:
apartment: 16000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 2:
double room: 4000/year

Tiedao Dorm 3:
single room: 8000/year
double room: 5000/year
triple room: 4500/year

Tiedao Dorm
single room:8000/year
double room:3500/year";Not Allowed;N/A;Yes;No;No;25;EFFST, Duolingo, TOEFL, IELTS;CSU;CSU;"TOEFL≥ 85
IELTS≥ 6.0";"Mathematics, and
Physics/Chemistry(Choose One)";;;;;;;;;;;;;;
Mechanical;No;General;September;CSU;Central South University;Yes;Mechanical Engineering with Transportation (Dual degree);Qumin;open;;;;Changsha, Hunan;27-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st, May;Pass CSCA;69000;"Xiangya 8 and 9 building:
single room: 6000/year
apartment: 5000-7000/year

Shenhua Dorm:
apartment:9000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 1:
apartment: 16000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 2:
double room: 4000/year

Tiedao Dorm 3:
single room: 8000/year
double room: 5000/year
triple room: 4500/year

Tiedao Dorm
single room:8000/year
double room:3500/year";Not Allowed;N/A;Yes;No;No;25;EFFST, Duolingo, TOEFL, IELTS;CSU;CSU;"TOEFL≥ 85
IELTS≥ 6.0";"Mathematics, and
Physics/Chemistry(Choose One)";;;;;;;;;;;;;;
Business;No;Current Applicant;September;ZISU;Zhejiang International Studies University;No;Cross Border E-commerce;Yuki;open;;;;"Hangzhou
 Zhejiang";282-SHANGHAI RANKING;N/A;10th, July;70%;18000;"Quad room: 3900 RMB/year
Double room: 8400 RMB/year
Single room: 18000 RMB/year";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 50% tuition fee
Type C: Free first year 25% tuition fee
(Scholarship will annual review)";No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;;ZISU;"TOEFL≥ 80
IELTS≥ 6.0";high school scores above 80 + good interview can get better scholarship;The quota for Pakistan, Bangladesh, and India is full;;;;;;;;;;;;;
Business;No;Current Applicant;September;ZISU;Zhejiang International Studies University;No;International Economy and Trade;Yuki;open;;;;"Hangzhou
 Zhejiang";282-SHANGHAI RANKING;N/A;10th, July;70%;18000;"Quad room: 3900 RMB/year
Double room: 8400 RMB/year
Single room: 18000 RMB/year";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 50% tuition fee
Type C: Free first year 25% tuition fee
(Scholarship will annual review)";No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;;ZISU;"TOEFL≥ 80
IELTS≥ 6.0";high school scores above 80 + good interview can get better scholarship;The quota for Pakistan, Bangladesh, and India is full;;;;;;;;;;;;;
Others;No;Current Applicant;September;ZISU;Zhejiang International Studies University;No;Tourism Management ;Yuki;open;;;;"Hangzhou
 Zhejiang";282-SHANGHAI RANKING;N/A;10th, July;70%;18000;"Quad room: 3900 RMB/year
Double room: 8400 RMB/year
Single room: 18000 RMB/year";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 50% tuition fee
Type C: Free first year 25% tuition fee
(Scholarship will annual review)";No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;;ZISU;"TOEFL≥ 80
IELTS≥ 6.0";high school scores above 80 + good interview can get better scholarship;The quota for Pakistan, Bangladesh, and India is full;;;;;;;;;;;;;
Language Related;No;Current Applicant;September;ZISU;Zhejiang International Studies University;No;"Business English
(Business Environment in China)";Yuki;open;;;;"Hangzhou
 Zhejiang";282-SHANGHAI RANKING;N/A;10th, July;70%;18000;"Quad room: 3900 RMB/year
Double room: 8400 RMB/year
Single room: 18000 RMB/year";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 50% tuition fee
Type C: Free first year 25% tuition fee
(Scholarship will annual review)";No;Yes;No;18-25;EFFST, Duolingo, TOEFL, IELTS;;ZISU;"TOEFL≥ 80
IELTS≥ 6.0";high school scores above 80 + good interview can get better scholarship;The quota for Pakistan, Bangladesh, and India is full;;;;;;;;;;;;;
Business;No;Current Applicant;September;BFSU;Beijing Foreign Studies University;Yes;Business Administration (Research direction: International Marketing);Yuki;open;;;;Beijing;82-SHANGHAI RANKING;N/A;15th, July;80%;39900;"Single Room (Xiyuan White Building): 60 RMB/day
Single Room (Xiyuan White Building): 70 RMB/day
Single Room (Dongyuan Building): 90 RMB/day
Single Room (Xiyuan Domestic Building): 90/100 RMB/day
Double Room (Dongyuan Building & Xiyuan White Building): 40 RMB/day
Double Room (Dongyuan Building & Xiyuan Domestic Building): 70 RMB/day
Triple Room (Xiyuan Building 6): 40 RMB/day";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 90% tuition fee
Type C: Free first year 80% tuition fee
Type D: Free first year 70% tuition fee
Type E: Free first year 60% tuition fee
Type F: Free first year 50% tuition fee
Type G: Free first year 40% tuition fee
Type H: Free first year 30% tuition fee
Type I: Free first year 20% tuition fee
Type J: Free first year 10% tuition fee
(Scholarship will annual review)";No;Yes;Yes;18-25;IELTS, TOEFL, TOEIC;B2619-BFSU-Beijing Foreign Studies University.pdf;BFSU;"IELTS: 6
TOEFL IBT: 79
TOEIC: 750";;;;;;;;;;;;;;;
Business;No;Current Applicant;September;BFSU;Beijing Foreign Studies University;Yes;Business Administration (Research direction: Chinese Business Studies);Yuki;open;;;;Beijing;82-SHANGHAI RANKING;N/A;15th, July;80%;39900;"Single Room (Xiyuan White Building): 60 RMB/day
Single Room (Xiyuan White Building): 70 RMB/day
Single Room (Dongyuan Building): 90 RMB/day
Single Room (Xiyuan Domestic Building): 90/100 RMB/day
Double Room (Dongyuan Building & Xiyuan White Building): 40 RMB/day
Double Room (Dongyuan Building & Xiyuan Domestic Building): 70 RMB/day
Triple Room (Xiyuan Building 6): 40 RMB/day";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 90% tuition fee
Type C: Free first year 80% tuition fee
Type D: Free first year 70% tuition fee
Type E: Free first year 60% tuition fee
Type F: Free first year 50% tuition fee
Type G: Free first year 40% tuition fee
Type H: Free first year 30% tuition fee
Type I: Free first year 20% tuition fee
Type J: Free first year 10% tuition fee
(Scholarship will annual review)";No;Yes;Yes;;IELTS, TOEFL, TOEIC;B2619-BFSU-Beijing Foreign Studies University.pdf;BFSU;"IELTS: 6
TOEFL IBT: 79
TOEIC: 750";;;;;;;;;;;;;;;
Business;No;Current Applicant;September;BFSU;Beijing Foreign Studies University;Yes;International Economics and Trade;Yuki;open;;;;Beijing;82-SHANGHAI RANKING;N/A;15th, July;80%;39900;"Single Room (Xiyuan White Building): 60 RMB/day
Single Room (Xiyuan White Building): 70 RMB/day
Single Room (Dongyuan Building): 90 RMB/day
Single Room (Xiyuan Domestic Building): 90/100 RMB/day
Double Room (Dongyuan Building & Xiyuan White Building): 40 RMB/day
Double Room (Dongyuan Building & Xiyuan Domestic Building): 70 RMB/day
Triple Room (Xiyuan Building 6): 40 RMB/day";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 90% tuition fee
Type C: Free first year 80% tuition fee
Type D: Free first year 70% tuition fee
Type E: Free first year 60% tuition fee
Type F: Free first year 50% tuition fee
Type G: Free first year 40% tuition fee
Type H: Free first year 30% tuition fee
Type I: Free first year 20% tuition fee
Type J: Free first year 10% tuition fee
(Scholarship will annual review)";No;Yes;Yes;;IELTS, TOEFL, TOEIC;B2619-BFSU-Beijing Foreign Studies University.pdf;BFSU;"IELTS: 6
TOEFL IBT: 79
TOEIC: 750";;;;;;;;;;;;;;;
Business;No;Current Applicant;September;BFSU;Beijing Foreign Studies University;Yes;International Business;Yuki;open;;;;Beijing;82-SHANGHAI RANKING;N/A;15th, July;80%;39900;"Single Room (Xiyuan White Building): 60 RMB/day
Single Room (Xiyuan White Building): 70 RMB/day
Single Room (Dongyuan Building): 90 RMB/day
Single Room (Xiyuan Domestic Building): 90/100 RMB/day
Double Room (Dongyuan Building & Xiyuan White Building): 40 RMB/day
Double Room (Dongyuan Building & Xiyuan Domestic Building): 70 RMB/day
Triple Room (Xiyuan Building 6): 40 RMB/day";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 90% tuition fee
Type C: Free first year 80% tuition fee
Type D: Free first year 70% tuition fee
Type E: Free first year 60% tuition fee
Type F: Free first year 50% tuition fee
Type G: Free first year 40% tuition fee
Type H: Free first year 30% tuition fee
Type I: Free first year 20% tuition fee
Type J: Free first year 10% tuition fee
(Scholarship will annual review)";No;Yes;Yes;;IELTS, TOEFL, TOEIC;B2619-BFSU-Beijing Foreign Studies University.pdf;BFSU;"IELTS: 6
TOEFL IBT: 79
TOEIC: 750";;;;;;;;;;;;;;;
Business;No;Current Applicant;September;BFSU;Beijing Foreign Studies University;Yes;E-Commerce;Yuki;open;;;;Beijing;82-SHANGHAI RANKING;N/A;15th, July;80%;39900;"Single Room (Xiyuan White Building): 60 RMB/day
Single Room (Xiyuan White Building): 70 RMB/day
Single Room (Dongyuan Building): 90 RMB/day
Single Room (Xiyuan Domestic Building): 90/100 RMB/day
Double Room (Dongyuan Building & Xiyuan White Building): 40 RMB/day
Double Room (Dongyuan Building & Xiyuan Domestic Building): 70 RMB/day
Triple Room (Xiyuan Building 6): 40 RMB/day";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 90% tuition fee
Type C: Free first year 80% tuition fee
Type D: Free first year 70% tuition fee
Type E: Free first year 60% tuition fee
Type F: Free first year 50% tuition fee
Type G: Free first year 40% tuition fee
Type H: Free first year 30% tuition fee
Type I: Free first year 20% tuition fee
Type J: Free first year 10% tuition fee
(Scholarship will annual review)";No;Yes;Yes;;IELTS, TOEFL, TOEIC;B2619-BFSU-Beijing Foreign Studies University.pdf;BFSU;"IELTS: 6
TOEFL IBT: 79
TOEIC: 750";;;;;;;;;;;;;;;
Business;No;Current Applicant;September;BFSU;Beijing Foreign Studies University;Yes;Finance;Yuki;open;;;;Beijing;82-SHANGHAI RANKING;N/A;15th, July;80%;39900;"Single Room (Xiyuan White Building): 60 RMB/day
Single Room (Xiyuan White Building): 70 RMB/day
Single Room (Dongyuan Building): 90 RMB/day
Single Room (Xiyuan Domestic Building): 90/100 RMB/day
Double Room (Dongyuan Building & Xiyuan White Building): 40 RMB/day
Double Room (Dongyuan Building & Xiyuan Domestic Building): 70 RMB/day
Triple Room (Xiyuan Building 6): 40 RMB/day";Allowed;"Type A: Free first year tuition fee
Type B: Free first year 90% tuition fee
Type C: Free first year 80% tuition fee
Type D: Free first year 70% tuition fee
Type E: Free first year 60% tuition fee
Type F: Free first year 50% tuition fee
Type G: Free first year 40% tuition fee
Type H: Free first year 30% tuition fee
Type I: Free first year 20% tuition fee
Type J: Free first year 10% tuition fee
(Scholarship will annual review)";No;Yes;Yes;;IELTS, TOEFL, TOEIC;B2619-BFSU-Beijing Foreign Studies University.pdf;BFSU;"IELTS: 6
TOEFL IBT: 79
TOEIC: 750";;;;;;;;;;;;;;;
Mechanical;No;General;September;NJUST;Nanjing University of Science and Technology;Yes;Mechanical Engineering;Qumin;;;;;Nanjing, Jiangsu;38-SHANGHAI RANKING;"211
Double First Class";15th, June;"60%
There is no minimum score, but the best candidates will be admitted.";19800;RMB4000/year (Quad room);Allowed;"Type A (10 students): Cover tuition and accommodation fee, RMB1000 monthly stipend
Type B (20 students): Cover tuition fee
Type C (20 students): Cover 50% tuition fee
Type D (50 students): Cover accommodation fee only";No;Yes;No;25;EFFST, Duolingo, TOEFL;NJUST;NJUST;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥90";"CSCA Subjects_
Mathematics (English), Physics (English)";Master and PHD can rent off-campus;;;;;;;;;;;;;
Software;No;General;September;NJUST;Nanjing University of Science and Technology;Yes;Software Engineering;Qumin;;;;;Nanjing, Jiangsu;38-SHANGHAI RANKING;"211
Double First Class";15th, June;"60%
There is no minimum score, but the best candidates will be admitted.";19800;RMB4000/year (Quad room);Allowed;"Type A (10 students): Cover tuition and accommodation fee, RMB1000 monthly stipend
Type B (20 students): Cover tuition fee
Type C (20 students): Cover 50% tuition fee
Type D (50 students): Cover accommodation fee only";No;Yes;No;25;EFFST, Duolingo, TOEFL;NJUST;NJUST;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥90";"CSCA Subjects_
Mathematics (English), Physics (English)";Master and PHD can rent off-campus;;;;;;;;;;;;;
Business;No;General;September;NJUST;Nanjing University of Science and Technology;Yes;International Economics and Trade;Qumin;;;;;Nanjing, Jiangsu;38-SHANGHAI RANKING;"211
Double First Class";15th, June;"60%
There is no minimum score, but the best candidates will be admitted.";19800;RMB4000/year (Quad room);Allowed;"Type A (10 students): Cover tuition and accommodation fee, RMB1000 monthly stipend
Type B (20 students): Cover tuition fee
Type C (20 students): Cover 50% tuition fee
Type D (50 students): Cover accommodation fee only";No;Yes;No;25;EFFST, Duolingo, TOEFL;NJUST;NJUST;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥90";"CSCA Subjects_
Mathematics (English)";Master and PHD can rent off-campus;;;;;;;;;;;;;
Others;No;General;September;NJUST;Nanjing University of Science and Technology;Yes;Nanomaterials and Nanotechnology;Qumin;;;;;Nanjing, Jiangsu;38-SHANGHAI RANKING;"211
Double First Class";15th, June;"60%
There is no minimum score, but the best candidates will be admitted.";19800;RMB4000/year (Quad room);Allowed;"Type A (10 students): Cover tuition and accommodation fee, RMB1000 monthly stipend
Type B (20 students): Cover tuition fee
Type C (20 students): Cover 50% tuition fee
Type D (50 students): Cover accommodation fee only";No;Yes;No;25;EFFST, Duolingo, TOEFL;NJUST;NJUST;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥90";"CSCA Subjects_
Mathematics (English), Physics (English), Chemistry (English)";Master and PHD can rent off-campus;;;;;;;;;;;;;
Petroleum Eng;No;General;September;CUP;China University of Petroleum _Beijing_;Yes;Petroleum Engineering;Qumin;;;;;Beijing;48-SHANGHAI RANKING;"211
Double First Class";15th, June;"Average score is more than 70% 
and GPA_3.0/5.0.";25000;Campus accommodation fee: RMB800 to RMB1200 per month per person (Depending on the roomtype);Allowed;"Type A: Cover tuition, accommodation fee and insurance, RMB2500 monthly stipend (10 months)
Type B: Cover tuition, accommodation fee and insurance";No;Yes;Yes;25;EFFST, Duolingo, TOEFL, IELTS;CUP;CUP;"TOEFL≥ 75
IELTS≥ 6,0
Or corresponding proof of language proficiency";;;;;;;;;;;;;;;
Chemical;No;General;September;CUP;China University of Petroleum _Beijing_;Yes;Chemical Engineering and Technics;Qumin;;;;;Beijing;48-SHANGHAI RANKING;"211
Double First Class";15th, June;"Average score is more than 70% 
and GPA_3.0/5.0.";25000;Campus accommodation fee: RMB800 to RMB1200 per month per person (Depending on the roomtype);Allowed;"Type A: Cover tuition, accommodation fee and insurance, RMB2500 monthly stipend (10 months)
Type B: Cover tuition, accommodation fee and insurance";No;Yes;Yes;25;EFFST, Duolingo, TOEFL, IELTS;CUP;CUP;"TOEFL≥ 75
IELTS≥ 6,0
Or corresponding proof of language proficiency";;;;;;;;;;;;;;;
Computer;No;General;September;CUP;China University of Petroleum _Beijing_;Yes;Computer Science and Technology;Qumin;;;;;Beijing;48-SHANGHAI RANKING;"211
Double First Class";15th, June;"Average score is more than 70% 
and GPA_3.0/5.0.";25000;Campus accommodation fee: RMB800 to RMB1200 per month per person (Depending on the roomtype);Allowed;"Type A: Cover tuition, accommodation fee and insurance, RMB2500 monthly stipend (10 months)
Type B: Cover tuition, accommodation fee and insurance";No;Yes;Yes;25;EFFST, Duolingo, TOEFL, IELTS;CUP;CUP;"TOEFL≥ 75
IELTS≥ 6,0
Or corresponding proof of language proficiency";;;;;;;;;;;;;;;
Business;No;General;September;CUP;China University of Petroleum _Beijing_;Yes;International Economy and Trade;Qumin;;;;;Beijing;48-SHANGHAI RANKING;"211
Double First Class";15th, June;"Average score is more than 70% 
and GPA_3.0/5.0.";25000;Campus accommodation fee: RMB800 to RMB1200 per month per person (Depending on the roomtype);Allowed;"Type A: Cover tuition, accommodation fee and insurance, RMB2500 monthly stipend (10 months)
Type B: Cover tuition, accommodation fee and insurance";No;Yes;Yes;25;EFFST, Duolingo, TOEFL, IELTS;CUP;CUP;"TOEFL≥ 75
IELTS≥ 6,0
Or corresponding proof of language proficiency";;;;;;;;;;;;;;;
Others;No;General;September;CUP;China University of Petroleum _Beijing_;Yes;English;Qumin;;;;;Beijing;48-SHANGHAI RANKING;"211
Double First Class";15th, June;"Average score is more than 70% 
and GPA_3.0/5.0.";25000;Campus accommodation fee: RMB800 to RMB1200 per month per person (Depending on the roomtype);Allowed;"Type A: Cover tuition, accommodation fee and insurance, RMB2500 monthly stipend (10 months)
Type B: Cover tuition, accommodation fee and insurance";No;Yes;Yes;25;EFFST, Duolingo, TOEFL, IELTS;CUP;CUP;"TOEFL≥ 75
IELTS≥ 6,0
Or corresponding proof of language proficiency";;;;;;;;;;;;;;;
Business;No;General;September;ZJSU;Zhejiang Gongshang University;Yes;International Business;Qumin;;;;;Hangzhou, Zhejiang;"101-SHANGHAI 
RANKING";Double First Class;"1st, June
*Applications for scholarships are recommended before May 1st ,2026.";80%;18000;"Double Room: 
RMB650/month  7800/year
Quad Room: 
RMB250/month   3000/year";Not Allowed;"Type A: RMB20,000/year;
Type B: Cover 100% tuition fees ;
Type C: Cover 70% tuition fees;
Type D: Cover 40% tuition fees.
Type E: RMB9,000-24,000/year;";No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;ZJSU;ZJSU;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥90";TOEFL ITP scores are not accepted;"CSCA Subject
Mathematics";;;;;;;;;;;;;
Law;No;General;September;ZJSU;Zhejiang Gongshang University;Yes;Law (International Law);Qumin;;;;;Hangzhou, Zhejiang;"101-SHANGHAI 
RANKING";Double First Class;"1st, June
*Applications for scholarships are recommended before May 1st ,2026.";80%;18000;"Double Room: 
RMB650/month  7800/year
Quad Room: 
RMB250/month   3000/year";Not Allowed;"Type A: RMB20,000/year;
Type B: Cover 100% tuition fees ;
Type C: Cover 70% tuition fees;
Type D: Cover 40% tuition fees.
Type E: RMB9,000-24,000/year;";No;Yes;No;25;EFFST, Duolingo, TOEFL, IELTS;ZJSU;ZJSU;"TOEFL≥ 80
IELTS≥ 5,5
Duolingo ≥90";TOEFL ITP scores are not accepted;"CSCA Subject
Mathematics";;;;;;;;;;;;;
